age,fnlwgt,education,educational-num,marital-status,occupation,relationship,capital-gain,capital-loss,hours-per-week,native-country,income,Amer-Indian-Eskimo,Asian-Pac-Islander,Black,Other,White,Female,Male,?,Federal-gov,Local-gov,Never-worked,Private,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay
47,162924,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,60,Japan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,327112,Bachelors,13,Divorced,Sales,Not-in-family,0,1564,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
32,177794,Masters,14,Never-married,Prof-specialty,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
44,82601,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
21,147655,HS-grad,9,Never-married,Adm-clerical,Own-child,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
43,245975,9th,5,Married-civ-spouse,Adm-clerical,Husband,0,0,84,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
54,74660,Bachelors,13,Divorced,Prof-specialty,Unmarried,0,0,40,Canada,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
44,132921,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,0,0,36,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
29,244473,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,7688,0,40,United-States,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
41,102085,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
47,274657,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,3908,0,40,United-States,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
60,198727,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,0,0,30,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
35,420040,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
23,156513,HS-grad,9,Never-married,Handlers-cleaners,Own-child,0,0,40,United-States,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
19,208066,Some-college,10,Never-married,Sales,Own-child,0,0,20,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
51,175246,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,50,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
49,111558,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,0,1977,25,United-States,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
48,197836,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
28,191935,Assoc-acdm,12,Never-married,Sales,Own-child,0,0,20,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
35,342642,Masters,14,Married-spouse-absent,Protective-serv,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
59,316027,HS-grad,9,Married-civ-spouse,Other-service,Husband,0,0,45,Cuba,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
39,139647,Some-college,10,Divorced,Exec-managerial,Unmarried,0,0,56,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
23,349156,HS-grad,9,Never-married,Farming-fishing,Not-in-family,0,0,45,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
37,239409,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,60,United-States,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
38,98776,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
43,162887,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,40,United-States,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
24,302195,Bachelors,13,Never-married,Sales,Not-in-family,0,0,45,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
31,409622,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,0,0,36,Mexico,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
33,511289,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,0,0,48,United-States,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
26,233777,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
56,106723,HS-grad,9,Divorced,Adm-clerical,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
32,286675,Some-college,10,Never-married,Exec-managerial,Other-relative,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
19,61710,Some-college,10,Never-married,Other-service,Own-child,0,0,12,United-States,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
33,206392,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
20,400443,HS-grad,9,Never-married,Sales,Own-child,0,0,20,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
45,55720,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
28,104870,Assoc-voc,11,Never-married,Other-service,Not-in-family,0,0,48,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
35,238342,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
36,170031,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
50,231196,Bachelors,13,Divorced,Sales,Not-in-family,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
48,29433,Some-college,10,Divorced,Sales,Unmarried,0,0,55,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
56,56331,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,0,0,32,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
51,209912,Bachelors,13,Divorced,Exec-managerial,Not-in-family,0,0,50,United-States,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
46,32290,Some-college,10,Married-civ-spouse,Other-service,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
67,286372,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
38,104094,Some-college,10,Married-civ-spouse,?,Husband,0,0,15,United-States,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
32,248584,HS-grad,9,Never-married,Farming-fishing,Own-child,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
66,140576,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
48,248059,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,5013,0,45,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
31,463601,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,0,0,40,United-States,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
35,67317,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
55,222615,Masters,14,Married-civ-spouse,Exec-managerial,Husband,0,0,60,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
64,260082,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,Cuba,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
43,122473,9th,5,Never-married,Machine-op-inspct,Unmarried,0,625,40,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
64,133144,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,16,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
45,432824,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,7298,0,90,United-States,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
37,200426,Some-college,10,Never-married,Other-service,Not-in-family,0,0,18,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
29,126399,HS-grad,9,Divorced,Sales,Unmarried,0,0,32,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
46,199378,Prof-school,15,Never-married,Prof-specialty,Not-in-family,0,0,90,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
28,141702,HS-grad,9,Never-married,Sales,Not-in-family,0,0,60,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
32,131584,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
24,204935,Masters,14,Never-married,Adm-clerical,Not-in-family,0,0,56,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
40,105862,Bachelors,13,Divorced,Prof-specialty,Unmarried,5455,0,40,United-States,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
50,143804,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,55,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
47,97075,HS-grad,9,Divorced,?,Unmarried,0,0,40,United-States,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
38,187069,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,45,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
47,217161,HS-grad,9,Divorced,Other-service,Not-in-family,0,0,14,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
18,252993,12th,8,Never-married,Handlers-cleaners,Own-child,0,0,40,Columbia,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
46,180010,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,0,0,40,United-States,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
51,204447,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,0,0,45,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
48,219967,9th,5,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
26,188626,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,48,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
31,36222,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,0,0,65,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
23,32732,Bachelors,13,Never-married,Prof-specialty,Not-in-family,0,0,15,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
74,41737,HS-grad,9,Married-civ-spouse,?,Husband,0,2149,30,United-States,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
39,33223,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
51,346871,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,55,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
26,256141,Some-college,10,Never-married,?,Own-child,0,0,40,United-States,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
48,125120,Some-college,10,Divorced,Adm-clerical,Unmarried,0,0,55,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
59,179078,HS-grad,9,Widowed,?,Unmarried,0,0,40,United-States,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
26,94477,Some-college,10,Married-civ-spouse,Transport-moving,Husband,7298,0,55,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
41,93793,Masters,14,Married-civ-spouse,Prof-specialty,Husband,0,0,38,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
51,204322,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
42,223548,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,0,0,30,Mexico,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
34,349169,Masters,14,Married-civ-spouse,Craft-repair,Husband,0,0,40,Mexico,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
22,334593,Some-college,10,Never-married,?,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
36,307520,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,0,0,40,Philippines,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
55,125000,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
61,221943,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,9386,0,40,United-States,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
43,178780,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,49,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
42,310632,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
50,355954,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,50,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
59,186479,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
53,43952,Masters,14,Married-civ-spouse,Exec-managerial,Husband,15024,0,38,United-States,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
33,109920,Bachelors,13,Never-married,Adm-clerical,Not-in-family,0,0,40,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
32,131584,HS-grad,9,Married-civ-spouse,Sales,Husband,7298,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
38,187934,HS-grad,9,Married-civ-spouse,Other-service,Wife,0,0,20,Poland,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
30,159187,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,0,1902,55,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
27,183523,Some-college,10,Married-civ-spouse,Transport-moving,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
37,86551,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,0,45,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
30,151773,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
33,177945,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
35,164193,Some-college,10,Never-married,Transport-moving,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
38,27408,HS-grad,9,Divorced,Craft-repair,Unmarried,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
29,188278,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
50,53497,HS-grad,9,Never-married,Exec-managerial,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
37,224406,Some-college,10,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
47,191776,Some-college,10,Married-civ-spouse,?,Wife,0,0,8,United-States,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
44,178417,HS-grad,9,Married-civ-spouse,Protective-serv,Own-child,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
18,211413,11th,7,Never-married,Other-service,Own-child,0,0,15,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
25,232914,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,0,0,38,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
38,314007,HS-grad,9,Married-civ-spouse,Sales,Husband,0,0,78,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
41,89226,HS-grad,9,Divorced,Craft-repair,Not-in-family,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
49,123088,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,0,0,46,United-States,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
41,144778,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
31,109428,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,0,1740,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
19,291181,HS-grad,9,Never-married,Sales,Other-relative,0,0,28,Mexico,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
25,328697,Some-college,10,Divorced,Protective-serv,Other-relative,0,0,45,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
26,192022,Bachelors,13,Never-married,Other-service,Other-relative,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
27,65308,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
56,146554,HS-grad,9,Separated,Adm-clerical,Other-relative,0,0,40,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
34,353270,Assoc-voc,11,Never-married,Craft-repair,Own-child,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
20,112137,Some-college,10,Never-married,Prof-specialty,Other-relative,0,0,20,South,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
34,189759,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,0,1977,45,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
31,136398,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,0,0,50,Thailand,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
33,159929,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
39,181661,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
73,366204,7th-8th,4,Widowed,Priv-house-serv,Unmarried,1264,0,10,United-States,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
31,83446,HS-grad,9,Widowed,Craft-repair,Unmarried,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
32,30271,Some-college,10,Divorced,Exec-managerial,Unmarried,0,0,30,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
32,251612,5th-6th,3,Never-married,?,Unmarried,0,0,45,Mexico,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
52,198863,Prof-school,15,Divorced,Exec-managerial,Not-in-family,0,2559,60,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
43,183891,HS-grad,9,Divorced,Exec-managerial,Unmarried,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
20,130840,HS-grad,9,Never-married,Craft-repair,Own-child,0,0,20,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
43,350379,5th-6th,3,Divorced,Priv-house-serv,Unmarried,0,0,40,Mexico,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
47,174525,HS-grad,9,Married-civ-spouse,?,Husband,3942,0,40,?,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
66,86321,HS-grad,9,Widowed,Transport-moving,Not-in-family,0,0,22,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
55,104996,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,15,United-States,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
32,202952,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
37,403344,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
19,349620,10th,6,Never-married,Machine-op-inspct,Own-child,0,0,40,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
29,209472,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,0,0,38,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
24,194096,HS-grad,9,Never-married,Prof-specialty,Own-child,0,0,45,United-States,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
56,178353,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,0,0,40,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
34,55849,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,7298,0,50,United-States,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
20,438321,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,0,0,50,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
57,96779,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,0,0,40,United-States,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
